sex,age,address,famsize,Pstatus,Medu,Fedu,studytime,failures,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,G1,G2,G3,G3_label
1,16,1,1,0,1,3,1,0,1,0,1,1,1,1,0,5,1,5,5,5,1,3,15,16,15,1
0,18,1,0,1,4,0,1,3,0,0,1,0,0,1,0,1,2,3,3,3,2,3,18,11,9,0
0,21,1,1,1,1,3,1,0,0,0,0,1,1,1,1,2,3,4,2,4,1,18,12,9,9,0
0,16,1,1,0,3,2,3,0,1,0,0,1,0,1,0,1,2,5,2,3,2,10,17,11,15,1
0,16,1,1,0,0,3,2,0,1,1,1,0,1,1,1,1,2,1,5,2,1,0,7,13,8,0
0,17,1,0,1,3,4,3,3,1,0,1,1,1,1,1,5,2,2,2,4,3,7,11,9,6,0
1,16,0,0,0,4,4,4,0,0,0,0,0,0,1,0,2,2,3,5,4,5,14,16,6,10,1
0,15,0,1,1,3,3,1,0,1,0,0,1,1,0,1,3,3,5,3,2,5,0,7,9,8,0
0,19,1,1,1,3,0,2,0,0,1,0,1,1,0,1,5,1,3,2,2,1,6,8,12,11,1
1,19,1,0,0,3,0,4,0,0,1,1,1,1,1,1,3,5,2,1,1,5,20,13,16,13,1
0,18,0,1,0,4,0,4,0,0,1,1,1,1,1,0,2,1,5,5,5,1,19,17,8,10,1
1,21,1,1,1,3,3,4,0,0,0,1,1,1,1,1,1,1,5,2,4,1,19,8,6,6,0
0,16,1,0,1,1,0,3,0,0,1,0,1,1,0,0,4,5,3,3,4,4,23,7,14,12,1
1,15,1,1,1,4,2,1,3,1,1,0,0,1,1,0,4,2,2,3,2,4,10,9,7,2,0
0,18,0,0,1,3,4,4,0,1,0,0,1,1,1,0,2,3,1,1,2,4,26,11,13,13,1
0,17,0,1,0,4,2,1,0,0,0,1,0,1,0,1,4,3,5,3,5,2,28,9,13,9,0
1,18,0,0,0,2,0,3,1,1,1,0,0,1,1,1,3,1,1,3,2,4,13,8,12,7,0
1,18,0,1,0,1,2,4,0,0,0,1,1,1,0,0,4,5,2,2,3,1,21,12,12,12,1
1,16,0,1,0,3,0,3,0,0,0,0,0,0,1,0,2,4,5,5,3,3,15,8,12,10,1
1,17,1,0,0,2,3,3,0,1,0,1,1,1,1,1,2,2,5,4,3,4,13,6,12,9,0
1,18,0,1,1,2,2,1,0,1,0,1,0,1,0,0,3,1,1,3,3,4,11,14,12,12,1
1,15,1,0,0,4,3,4,2,1,1,0,1,0,1,0,4,3,4,3,5,3,16,17,5,9,0
1,15,1,1,0,2,3,3,2,1,0,1,0,1,1,1,4,5,1,4,4,1,13,18,10,11,1
1,19,0,0,0,1,1,4,0,1,1,0,0,0,1,0,1,5,1,3,3,2,9,10,16,13,1
0,17,0,0,0,1,0,1,0,0,1,1,1,1,0,1,5,1,4,2,2,4,23,6,13,7,0
0,17,1,0,0,0,4,3,2,1,1,0,0,1,1,1,2,4,2,2,3,3,28,7,12,7,0
1,19,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,3,2,4,5,1,13,5,7,3,0
0,18,1,1,1,2,4,4,2,1,0,1,1,1,1,1,2,1,5,3,2,5,17,9,15,8,0
0,17,0,1,1,1,0,4,0,0,0,0,1,1,1,1,1,4,3,3,3,2,21,13,5,9,0
0,15,0,0,0,4,3,1,0,1,0,1,1,1,1,1,5,5,3,5,4,3,8,6,6,4,0
0,15,0,0,1,0,2,2,1,0,1,0,1,1,1,0,1,2,5,3,2,3,16,16,15,11,1
1,16,0,0,1,2,2,3,0,1,1,0,0,1,1,0,2,3,3,2,2,3,5,11,19,15,1
0,17,0,1,0,0,1,4,0,1,1,0,0,1,0,0,4,3,1,1,4,4,7,9,6,7,0
1,18,1,1,0,2,4,4,0,0,0,0,0,1,1,1,2,4,1,1,2,5,25,6,11,8,0
0,19,0,1,0,4,4,3,0,1,1,1,1,1,1,1,3,1,4,1,3,2,12,12,16,12,1
0,19,1,1,1,0,4,1,0,1,0,0,0,1,0,0,3,5,4,1,2,1,17,15,10,11,1
0,18,1,0,1,3,3,1,0,0,0,0,0,0,1,0,3,4,5,3,3,1,4,19,15,15,1
1,21,1,0,0,2,4,1,3,1,0,1,0,1,0,1,3,2,5,3,4,5,5,17,6,7,0
0,20,0,0,0,3,2,2,0,0,0,1,0,0,1,0,5,2,5,5,1,3,20,17,12,13,1
1,16,0,1,1,0,3,2,1,0,1,1,0,1,1,0,4,2,1,3,4,3,18,10,19,13,1
0,19,0,1,1,3,0,4,0,0,0,1,1,1,1,0,4,4,3,1,3,3,3,8,13,11,1
1,17,1,1,0,3,4,1,0,0,1,1,1,1,1,0,2,5,5,4,5,3,6,17,19,15,1
0,16,1,0,0,0,4,3,3,0,0,1,0,1,1,0,1,3,5,4,4,3,3,8,11,5,0
1,17,1,0,1,4,0,4,0,1,1,0,1,1,1,1,2,1,1,2,5,5,24,6,8,7,0
1,21,1,1,0,3,4,3,0,1,1,1,1,1,0,0,2,3,1,2,5,4,10,7,17,12,1
0,15,1,0,1,3,0,4,0,1,0,0,0,1,1,0,2,5,1,3,3,2,11,19,17,18,1
1,16,1,1,1,4,3,2,0,0,0,1,0,1,1,1,2,3,3,4,3,3,13,11,5,8,0
0,19,0,1,1,3,2,4,1,0,0,0,1,1,1,1,4,4,5,1,1,4,12,7,8,5,0
0,16,0,0,1,3,0,2,2,0,1,0,0,1,0,1,1,2,2,1,2,1,28,17,8,9,0
0,16,0,1,0,3,1,4,0,0,0,0,1,1,1,1,2,5,2,1,4,5,9,9,12,10,1
0,16,0,0,0,1,0,1,0,1,0,1,1,0,1,0,4,5,5,3,3,4,17,14,8,7,0
0,20,1,1,1,4,4,3,0,1,1,1,0,1,1,0,2,3,5,3,4,3,15,10,8,9,0
0,16,1,0,1,3,3,1,1,0,0,1,1,1,1,0,3,4,5,5,5,3,4,10,17,9,0
0,17,0,0,1,4,3,4,0,0,1,1,1,1,1,0,2,3,5,1,2,3,7,18,6,12,1
0,15,1,0,1,2,0,4,0,1,0,0,1,1,0,1,2,3,3,1,1,4,13,8,16,11,1
0,21,0,1,1,2,2,4,0,0,1,1,0,1,1,1,5,5,2,3,4,3,4,10,14,10,1
0,18,0,1,0,3,1,2,0,0,1,0,0,1,0,0,3,3,4,3,2,4,25,7,11,8,0
0,16,0,0,0,4,3,3,0,0,0,0,0,1,1,0,1,2,2,5,1,3,27,11,19,13,1
1,19,1,0,0,4,4,3,1,1,1,1,0,1,1,0,2,3,2,5,4,1,23,11,8,7,0
1,16,0,1,0,4,4,4,0,1,0,1,1,0,0,0,1,2,1,2,2,1,7,8,15,11,1
0,19,0,1,1,1,2,4,0,0,0,1,0,0,1,1,3,5,5,4,3,2,24,6,10,6,0
0,17,0,1,1,2,3,2,2,1,1,0,0,1,0,0,2,4,5,1,4,3,25,15,7,7,0
0,19,1,0,1,4,0,1,1,0,0,1,0,1,1,1,5,2,5,1,2,3,5,11,11,9,0
0,18,1,1,1,4,4,1,0,0,1,0,0,1,0,1,4,4,1,5,1,4,15,7,10,8,0
0,15,0,1,1,1,2,3,0,1,1,1,1,1,1,1,5,4,3,5,2,4,27,19,7,13,1
0,19,1,0,0,1,3,2,0,0,1,0,1,1,1,1,5,2,3,2,3,3,3,5,8,7,0
0,19,1,1,1,4,3,4,0,0,1,1,1,1,1,0,4,5,4,4,4,2,11,6,14,9,0
0,15,1,1,0,0,3,3,0,1,1,1,0,0,1,0,4,1,3,2,4,3,10,14,18,16,1
1,18,1,1,0,4,3,2,0,0,1,0,0,1,1,0,4,4,3,4,4,4,2,13,9,10,1
0,16,1,0,0,4,3,1,0,0,1,1,1,1,1,0,2,4,5,1,3,3,11,16,13,12,1
1,19,1,0,0,1,4,2,1,0,1,1,0,1,1,1,1,5,2,2,1,4,29,19,18,15,1
0,15,1,0,1,1,2,1,0,1,0,1,0,1,1,1,1,5,3,5,4,3,4,12,10,10,1
0,17,1,0,0,4,3,2,0,0,0,1,1,1,0,1,4,3,3,2,1,5,5,19,17,17,1
1,15,1,0,0,4,1,3,0,1,1,1,1,0,1,0,5,5,1,2,2,4,18,19,8,13,1
0,17,1,0,0,4,1,1,3,0,0,1,0,1,1,1,3,4,4,1,1,2,17,18,15,10,1
1,18,0,0,1,1,2,3,1,0,0,1,0,1,1,1,4,2,1,5,1,5,15,10,15,11,1
0,16,0,1,1,4,0,3,1,0,0,0,0,1,1,1,5,1,5,5,4,3,22,18,11,11,1
0,15,1,1,1,4,0,1,1,0,0,0,1,1,1,1,5,3,2,3,5,4,10,10,6,5,0
1,21,0,0,0,3,0,1,2,1,0,1,1,1,1,0,2,2,4,3,5,5,4,18,8,10,1
0,21,0,1,0,0,1,4,0,1,0,1,1,1,0,1,2,1,1,3,3,2,8,5,9,9,0
1,20,1,1,1,2,0,4,0,0,1,1,1,1,0,1,1,1,3,1,3,4,2,6,8,7,0
0,19,1,0,0,0,4,4,0,0,0,0,0,0,1,0,1,1,3,2,5,5,29,8,8,8,0
1,18,1,1,1,3,3,3,1,0,0,0,1,1,1,0,3,2,4,5,2,5,7,7,15,8,0
1,15,0,1,1,2,1,3,1,0,0,1,1,1,1,0,3,3,3,5,4,5,5,18,17,15,1
0,21,0,1,0,4,2,4,0,0,0,0,0,1,1,1,3,3,1,2,4,1,3,5,13,9,0
0,19,1,1,0,3,2,3,0,0,1,1,0,1,1,1,3,1,1,5,2,3,11,12,18,13,1
1,21,1,1,0,4,3,3,0,0,1,1,0,1,1,1,5,2,3,2,2,4,11,11,15,12,1
0,15,1,0,0,1,1,1,2,0,1,1,1,1,1,1,5,1,3,1,5,4,24,8,17,7,0
0,17,0,0,1,3,0,1,0,1,1,1,0,1,1,0,1,5,5,1,3,4,20,16,6,10,1
0,15,0,0,1,1,0,3,0,1,0,0,0,1,1,1,2,3,2,1,2,5,15,16,10,13,1
1,20,0,1,1,3,4,4,0,1,1,0,1,1,0,1,2,4,4,2,3,3,9,13,18,16,1
1,15,0,0,1,3,4,2,0,0,1,1,1,0,1,0,4,1,1,2,1,2,21,15,12,12,1
1,15,1,1,1,1,0,4,2,0,1,0,0,1,0,0,5,5,4,4,4,4,13,18,12,11,1
1,20,1,1,0,2,2,2,0,0,1,0,1,1,0,0,3,3,5,5,5,3,12,8,15,11,1
1,18,1,1,1,0,2,4,1,1,0,1,0,1,1,1,3,2,1,5,4,3,8,5,11,8,0
1,15,1,1,1,4,4,1,0,0,1,0,0,0,1,1,4,3,5,4,5,1,6,19,14,15,1
1,20,0,0,1,3,3,3,0,1,0,1,1,1,1,1,2,2,5,4,1,4,11,14,15,13,1
1,19,0,0,0,4,0,3,0,0,1,1,0,1,0,1,3,2,3,1,4,5,4,19,8,13,1
1,17,1,1,0,1,4,1,1,1,0,1,1,1,0,1,2,1,4,4,1,3,17,5,11,3,0
0,17,1,0,0,4,4,2,0,1,0,1,1,1,1,0,4,1,4,2,5,3,3,5,17,8,0
1,15,0,1,0,1,0,2,0,1,1,0,1,1,1,0,2,3,3,3,2,2,1,5,14,8,0
0,18,1,0,1,4,0,2,0,0,1,1,0,1,0,1,2,5,4,2,4,1,2,8,10,8,0
0,18,0,0,1,0,2,1,2,1,1,0,1,1,1,1,2,3,3,4,1,3,25,5,15,6,0
0,19,1,1,0,0,3,2,0,0,1,1,1,1,0,1,3,4,1,5,4,3,11,6,10,7,0
1,15,1,0,0,0,3,1,1,0,0,1,0,1,0,1,1,2,5,2,4,5,2,8,6,4,0
1,17,1,1,1,0,0,4,0,0,0,0,0,1,1,1,5,2,5,5,4,5,3,11,12,11,1
1,18,1,0,1,0,1,4,0,0,1,1,0,1,1,0,2,1,4,2,3,2,5,6,12,11,1
1,15,1,1,0,0,4,1,0,0,1,0,0,1,1,0,2,5,2,5,1,2,11,12,18,13,1
0,21,1,1,0,1,4,3,0,1,0,0,1,0,1,0,2,1,5,2,1,2,18,17,15,15,1
1,18,1,0,0,3,0,4,0,0,1,1,1,0,1,1,1,4,3,5,4,5,9,11,11,11,1
1,20,0,0,0,4,1,2,0,0,0,1,1,0,0,1,4,3,2,3,2,5,29,13,15,12,1
1,21,0,1,1,0,2,1,0,0,1,1,0,1,0,0,3,3,2,1,4,1,0,18,13,15,1
1,18,0,0,1,1,0,2,2,0,0,1,0,1,0,0,1,5,5,2,3,4,16,10,12,5,0
1,17,0,0,1,1,0,2,0,0,0,1,1,1,1,1,2,1,5,3,5,4,15,8,18,11,1
0,16,0,1,0,1,4,3,1,1,0,1,0,1,0,0,1,1,5,1,3,1,8,10,13,9,0
1,21,1,1,0,3,0,2,0,1,0,0,0,1,1,0,1,4,3,2,2,4,24,19,19,17,1
0,19,1,0,1,4,0,3,0,0,0,0,1,1,1,1,1,3,2,3,4,5,20,8,13,8,0
1,19,0,1,1,3,0,4,0,1,1,1,1,1,1,0,4,1,4,3,1,4,8,11,10,12,1
0,17,1,1,1,2,4,1,0,1,0,0,0,1,1,0,5,5,3,3,4,5,26,13,6,9,0
1,18,0,1,1,1,2,2,0,0,1,0,0,1,0,0,3,3,1,4,2,1,22,7,16,11,1
1,15,0,0,0,2,2,1,0,1,0,1,0,0,1,1,4,4,5,5,1,2,8,7,11,9,0
0,18,1,0,1,0,0,2,0,0,0,1,1,1,1,0,4,5,2,1,3,1,11,6,7,5,0
0,17,1,1,1,0,4,1,0,1,1,0,1,1,1,0,5,2,3,5,5,4,22,5,17,7,0
0,19,1,0,1,3,2,2,2,1,1,1,1,0,1,0,4,4,1,5,5,5,8,18,11,12,1
1,18,0,1,1,4,2,2,1,1,1,0,1,1,1,1,1,5,3,5,4,4,14,5,13,6,0
0,19,1,0,1,2,2,2,0,0,1,1,1,1,1,1,1,1,3,3,3,4,1,17,14,13,1
1,21,0,1,1,4,4,2,0,1,0,0,0,1,1,0,2,2,4,5,2,2,10,7,18,11,1
1,15,0,1,1,3,4,2,0,1,1,0,0,1,1,1,4,4,4,4,5,4,10,18,14,17,1
0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,3,2,3,2,7,11,6,8,0
0,19,1,1,0,4,3,2,0,0,1,0,1,1,1,1,3,2,1,3,4,5,22,19,18,18,1
1,19,1,0,0,4,2,2,0,1,1,1,1,1,1,1,1,3,2,1,1,5,5,15,17,13,1
1,16,0,0,0,0,3,2,0,0,0,1,1,1,1,0,3,1,2,2,4,2,20,13,10,9,0
0,16,1,1,1,2,4,1,0,1,0,0,0,1,1,0,5,5,5,2,4,1,19,18,17,17,1
0,21,1,1,0,0,4,3,0,1,1,0,1,0,1,0,1,4,5,2,3,5,6,6,10,8,0
0,20,1,0,0,4,4,2,1,0,0,1,1,1,1,1,3,2,2,5,5,1,2,11,13,9,0
1,21,0,1,1,2,3,3,1,0,0,1,0,1,0,0,5,1,3,5,3,5,7,5,17,10,1
1,16,0,1,1,2,4,2,0,0,0,0,1,1,1,1,3,3,3,3,1,5,17,6,13,7,0
1,19,1,1,0,0,0,2,2,1,0,0,0,1,0,1,5,4,4,5,3,3,16,10,19,8,0
1,17,0,1,0,4,4,1,3,0,0,0,1,0,0,0,5,4,4,5,2,4,10,15,17,9,0
1,21,1,1,1,3,1,4,0,1,0,0,1,1,1,1,1,1,5,5,4,4,1,9,9,8,0
1,19,1,0,0,4,3,4,0,0,0,0,0,1,1,0,2,3,2,3,5,1,24,12,18,15,1
0,17,1,0,1,1,1,1,0,1,0,1,0,1,1,1,5,2,3,3,1,4,20,16,9,11,1
1,17,1,1,1,3,4,3,2,0,1,0,0,1,0,0,5,1,2,4,4,1,26,15,13,10,1
1,16,0,1,1,2,0,4,2,1,0,1,0,1,0,1,1,2,1,4,3,5,23,6,12,4,0
1,21,0,1,1,3,2,1,0,0,1,1,0,0,1,1,2,4,2,4,2,3,18,5,11,8,0
0,18,0,0,0,2,4,1,0,1,0,1,0,1,0,0,4,2,1,4,3,3,6,11,12,9,0
1,15,1,1,1,2,0,4,0,0,0,0,1,0,1,1,4,3,4,2,4,5,17,10,10,8,0
1,16,1,0,1,3,3,3,0,0,0,1,1,1,0,0,2,5,4,2,1,2,7,12,7,9,0
0,16,1,0,0,2,1,1,0,1,0,1,0,1,0,1,3,3,5,4,5,2,13,15,11,12,1
1,18,0,0,1,2,1,2,2,0,1,1,1,1,1,1,1,2,2,4,4,4,6,19,12,11,1
1,15,1,1,0,1,1,3,0,1,1,1,0,1,1,1,2,1,2,1,1,1,27,19,19,18,1
1,19,0,0,0,4,3,3,1,1,0,0,1,0,1,0,4,4,1,2,4,3,20,17,12,12,1
1,20,0,1,0,4,0,4,2,0,1,0,0,1,1,0,5,5,4,1,2,4,27,18,5,10,1
1,21,0,0,1,1,3,4,1,1,0,1,1,1,0,0,4,1,1,1,3,5,26,12,11,10,1
0,20,0,1,0,3,1,2,0,0,0,1,1,1,1,0,5,1,4,5,5,3,3,6,7,8,0
0,19,0,0,0,0,4,1,0,0,1,0,1,1,1,0,1,3,1,3,1,1,16,18,6,11,1
0,16,0,1,1,0,2,4,0,1,1,0,1,1,1,1,5,2,4,2,5,1,4,12,18,15,1
1,15,1,0,0,0,3,4,0,0,0,0,1,1,0,1,2,3,1,4,5,2,11,10,6,6,0
1,16,1,1,0,1,3,3,0,1,0,1,0,1,1,0,5,2,4,4,5,4,8,13,18,17,1
1,17,0,1,0,1,0,4,0,1,1,0,0,1,1,1,3,3,1,3,1,5,25,16,19,17,1
0,16,0,1,0,2,0,4,0,0,0,1,0,1,1,1,2,1,2,2,1,3,19,11,18,13,1
1,16,1,1,0,0,3,4,0,0,1,1,1,1,0,1,1,4,5,4,5,1,12,6,12,8,0
1,19,0,0,1,3,1,4,0,1,0,0,0,1,0,1,2,2,1,4,3,3,24,12,13,12,1
0,19,0,0,0,3,2,3,0,1,0,1,1,1,1,0,3,5,5,5,4,5,27,13,7,12,1
1,19,1,1,0,0,0,2,1,0,1,0,1,0,1,1,1,5,2,1,5,3,17,11,18,12,1
0,20,0,0,1,0,1,2,1,0,1,1,1,1,1,0,4,1,2,4,2,4,19,8,7,5,0
0,17,0,1,1,0,4,1,0,0,1,0,0,1,1,0,3,3,4,2,5,2,8,13,10,9,0
0,19,0,1,1,1,0,4,0,0,0,1,1,1,1,1,1,3,5,3,1,3,3,8,15,12,1
1,15,1,0,0,1,1,3,0,1,0,1,0,1,0,0,5,1,3,5,4,2,20,16,14,15,1
1,20,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,5,4,2,2,5,26,8,5,7,0
1,18,1,1,0,4,2,1,0,1,0,0,1,1,0,1,1,5,5,5,4,2,7,13,10,10,1
1,15,0,0,0,3,2,2,2,1,1,0,1,1,1,1,2,3,1,1,4,3,0,18,16,12,1
1,21,0,1,1,3,4,3,0,0,0,0,0,1,1,0,5,2,1,4,2,3,16,12,7,11,1
1,21,1,1,1,2,1,3,0,1,0,1,0,1,1,0,1,4,2,2,5,1,24,8,15,12,1
1,15,0,1,0,1,1,3,0,0,0,0,0,0,1,0,4,2,3,3,5,3,8,18,8,13,1
0,19,0,1,1,4,2,2,0,1,1,0,0,0,1,1,3,5,1,1,5,2,19,12,13,12,1
1,18,0,0,0,4,0,2,0,0,0,1,0,1,1,1,1,2,5,1,3,1,12,19,7,13,1
0,18,0,0,1,3,0,2,0,1,0,0,0,1,1,1,5,4,5,5,5,3,1,12,5,7,0
1,20,0,0,1,1,3,2,0,1,1,0,1,0,1,0,1,2,1,1,2,3,12,11,7,7,0
1,18,1,1,1,2,2,2,0,0,0,1,0,1,1,1,2,2,5,2,3,5,8,14,11,13,1
1,21,0,1,0,1,3,4,0,0,0,0,0,0,0,1,1,2,5,5,5,1,29,17,17,17,1
0,17,1,0,1,0,2,4,0,1,1,0,0,1,1,0,4,2,2,1,3,5,19,10,11,11,1
0,19,0,1,0,1,4,3,0,1,0,0,0,0,0,0,1,1,3,3,2,5,5,12,15,13,1
0,18,1,1,0,0,1,1,3,0,0,0,1,1,1,0,3,5,2,2,5,5,27,11,9,5,0
0,20,0,1,0,0,4,3,0,1,0,0,1,0,0,1,1,4,3,3,1,4,0,9,18,12,1
1,21,1,1,0,2,2,1,0,0,1,0,0,1,1,1,2,5,5,3,2,5,27,16,5,10,1
0,17,0,0,1,3,1,2,0,1,0,1,0,1,0,1,1,1,3,5,4,2,24,17,15,14,1
1,16,1,0,0,1,0,1,0,0,0,0,0,0,1,0,4,1,5,4,4,3,4,17,12,12,1
1,16,0,0,0,0,0,3,0,1,1,1,1,1,1,0,5,1,5,5,2,4,2,8,14,11,1
0,17,1,1,1,1,3,3,0,0,1,1,1,1,1,0,1,1,2,2,4,5,3,18,12,15,1
0,21,0,0,0,3,2,1,1,0,0,1,1,1,1,0,1,2,2,2,2,3,0,16,14,14,1
0,20,1,0,1,3,2,4,0,1,0,1,1,1,1,1,3,5,4,5,1,1,13,6,16,10,1
0,17,1,1,0,4,0,2,0,0,0,0,1,0,1,1,4,3,1,4,2,1,8,15,14,12,1
0,19,0,1,1,3,4,2,0,1,0,0,1,1,1,1,5,4,4,5,5,3,29,12,17,13,1
0,19,0,0,0,2,1,3,2,0,1,0,0,1,0,1,2,1,4,2,5,2,23,13,14,9,0
0,16,1,0,1,0,4,4,0,0,0,1,1,1,1,1,1,5,3,4,3,3,3,8,6,7,0
0,18,0,0,0,4,4,1,0,0,1,0,1,1,1,1,5,1,5,2,4,3,17,8,14,10,1
1,20,1,0,0,2,0,2,0,1,1,0,0,1,1,1,2,1,5,4,4,4,13,9,7,8,0
0,16,1,1,1,1,0,4,0,0,0,0,1,1,1,1,4,1,5,4,2,1,24,6,8,8,0
0,18,1,0,1,0,0,2,0,1,0,1,0,1,1,0,4,1,1,5,4,1,3,11,5,8,0
1,18,0,0,1,3,3,4,0,0,1,1,1,0,1,0,5,1,3,5,5,5,24,19,8,11,1
0,19,1,1,1,0,4,4,0,1,1,0,0,1,0,1,2,4,3,5,1,3,9,9,9,9,0
1,21,1,0,0,1,2,3,0,1,0,1,0,1,0,0,4,5,5,4,2,3,2,10,7,8,0
1,15,0,1,0,4,1,2,0,1,1,1,0,0,0,1,5,1,4,4,4,2,22,8,18,12,1
0,21,0,1,1,4,3,1,0,0,0,0,0,1,1,1,4,1,1,2,5,1,6,12,15,11,1
1,15,0,1,0,4,2,3,2,1,0,1,0,0,0,0,4,1,4,3,3,2,9,12,19,11,1
1,17,0,0,1,3,4,3,0,0,1,1,1,1,1,1,4,1,2,5,4,4,12,16,14,15,1
1,19,1,0,1,2,0,1,0,1,1,0,1,0,1,1,3,2,3,2,1,5,3,9,6,7,0
1,18,1,1,0,2,4,3,0,1,0,1,0,1,1,1,2,2,3,2,1,2,17,16,17,16,1
0,20,1,0,0,0,1,4,0,1,1,1,0,0,1,1,5,3,4,1,4,1,10,10,10,10,1
1,15,1,0,0,3,3,4,1,1,0,1,0,1,1,1,5,1,1,5,4,4,24,7,12,8,0
0,21,0,1,0,4,3,2,0,0,0,1,1,1,1,1,2,3,3,2,5,3,3,5,11,4,0
1,18,1,1,0,4,1,2,0,1,0,1,0,1,1,1,2,4,4,1,4,4,23,13,15,11,1
1,15,1,0,0,1,2,1,0,1,1,1,0,1,1,0,2,3,1,5,3,2,13,13,18,12,1
